date,value
1981-09-01,28.14
1981-09-02,28.2675
1981-09-03,27.91
1981-09-04,27.717497
1981-09-05,28.705
1981-09-06,29.1575
1981-09-07,28.8575
1981-09-08,28.794998
1981-09-09,28.8025
1981-09-10,28.772501
1981-09-11,28.285
1981-09-12,28.442497
1981-09-13,28.732498
1981-09-14,28.9025
1981-09-15,28.204998
1981-09-16,28.242498
1981-09-17,27.9625
1981-09-18,26.927498
1981-09-19,26.8875
1981-09-20,27.725
1981-09-21,27.984999
1981-09-22,28.485
1981-09-23,29.114998
1981-09-24,29.254997
1981-09-25,28.9625
1981-09-26,28.9075
1981-09-27,28.445
1981-09-28,28.575
1981-09-29,28.63
1981-09-30,28.76
1981-10-01,28.9
1981-10-02,28.624998
1981-10-03,28.6525
1981-10-04,28.9225
1981-10-05,28.137499
1981-10-06,28.1425
1981-10-07,28.175
1981-10-08,27.777498
1981-10-09,27.39
1981-10-10,28.0625
1981-10-11,28.182499
1981-10-12,28.3675
1981-10-13,28.372498
1981-10-14,28.305
1981-10-15,28.03
1981-10-16,27.965
1981-10-17,27.939999
1981-10-18,28.109999
1981-10-19,28.384998
1981-10-20,28.962498
1981-10-21,28.9075
1981-10-22,28.789999
1981-10-23,28.46
1981-10-24,27.8425
1981-10-25,27.49
1981-10-26,27.489998
1981-10-27,27.355
1981-10-28,27.0825
1981-10-29,27.0525
1981-10-30,27.065
1981-10-31,28.087498
1981-11-01,28.134998
1981-11-02,28.2575
1981-11-03,28.175
1981-11-04,28.1275
1981-11-05,28.0175
1981-11-06,27.21
1981-11-07,27.1875
1981-11-08,27.225
1981-11-09,27.46
1981-11-10,26.964998
1981-11-11,26.845
1981-11-12,26.8125
1981-11-13,27.42
1981-11-14,27.41
1981-11-15,27.787498
1981-11-16,27.8275
1981-11-17,28.31
1981-11-18,28.2225
1981-11-19,27.699999
1981-11-20,27.279999
1981-11-21,27.2325
1981-11-22,27.2575
1981-11-23,27.2925
1981-11-24,27.55
1981-11-25,27.5475
1981-11-26,27.664999
1981-11-27,27.637497
1981-11-28,27.6325
1981-11-29,26.9725
1981-11-30,26.5175
1981-12-01,26.414999
1981-12-02,26.164999
1981-12-03,25.67
1981-12-04,25.1675
1981-12-05,25.359999
1981-12-06,26.1875
1981-12-07,26.3125
1981-12-08,25.732498
1981-12-09,25.565
1981-12-10,25.484999
1981-12-11,25.380001
1981-12-12,25.305
1981-12-13,25.2825
1981-12-14,25.11
1981-12-15,25.092499
1981-12-16,25.232498
1981-12-17,25.2325
1981-12-18,25.18
1981-12-19,25.074999
1981-12-20,25.132498
1981-12-21,25.09
1981-12-22,24.55
1981-12-23,24.5625
1981-12-24,24.2825
1981-12-25,24.13
1981-12-26,24.29
1981-12-27,24.7625
1981-12-28,25.015
1981-12-29,25.41
1981-12-30,25.4975
1981-12-31,25.485
1982-01-01,25.2
1982-01-02,24.857498
1982-01-03,24.8425
1982-01-04,24.512499
1982-01-05,25.029999
1982-01-06,25.2025
1982-01-07,25.1925
1982-01-08,24.682499
1982-01-09,24.654999
1982-01-10,24.807499
1982-01-11,24.955
1982-01-12,25.064999
1982-01-13,24.58
1982-01-14,24.55
1982-01-15,25.0675
1982-01-16,25.1525
1982-01-17,24.9525
1982-01-18,24.965
1982-01-19,25.1725
1982-01-20,25.349998
1982-01-21,25.399998
1982-01-22,25.305
1982-01-23,25.235
1982-01-24,25.005
1982-01-25,25.22
1982-01-26,25.232498
1982-01-27,25.1975
1982-01-28,25.227499
1982-01-29,25.717499
1982-01-30,25.832499
1982-01-31,25.685
1982-02-01,25.762499
1982-02-02,25.7575
1982-02-03,24.8025
1982-02-04,24.797499
1982-02-05,24.914999
1982-02-06,25.1775
1982-02-07,25.557499
1982-02-08,25.39
1982-02-09,25.144999
1982-02-10,24.895
1982-02-11,24.757498
1982-02-12,24.53
1982-02-13,24.635
1982-02-14,24.634998
1982-02-15,24.619999
1982-02-16,24.7925
1982-02-17,24.884998
1982-02-18,24.72
1982-02-19,25.02
1982-02-20,26.26
1982-02-21,26.6625
1982-02-22,26.0225
1982-02-23,25.7875
1982-02-24,26.037498
1982-02-25,26.159998
1982-02-26,26.1325
1982-02-27,26.384998
1982-02-28,26.42
1982-03-01,26.435
1982-03-02,26.274998
1982-03-03,26.294998
1982-03-04,26.4875
1982-03-05,26.5175
1982-03-06,26.7775
1982-03-07,26.9425
1982-03-08,27.18
1982-03-09,27.047499
1982-03-10,26.76
1982-03-11,26.3625
1982-03-12,26.3
1982-03-13,26.489998
1982-03-14,26.534998
1982-03-15,26.56
1982-03-16,26.5675
1982-03-17,26.369999
1982-03-18,25.8975
1982-03-19,25.902498
1982-03-20,26.5075
1982-03-21,26.880001
1982-03-22,27.349998
1982-03-23,27.3475
1982-03-24,27.807499
1982-03-25,28.25
1982-03-26,28.265
1982-03-27,25.71
1982-03-28,25.515
1982-03-29,25.904999
1982-03-30,26.224998
1982-03-31,26.237497
1982-04-01,26.467499
1982-04-02,26.517498
1982-04-03,26.48
1982-04-04,26.305
1982-04-05,25.82
1982-04-06,25.829998
1982-04-07,25.662498
1982-04-08,26.89
1982-04-09,27.1325
1982-04-10,27.127499
1982-04-11,27.092499
1982-04-12,27.692501
1982-04-13,27.514997
1982-04-14,27.015
1982-04-15,26.757498
1982-04-16,25.88
1982-04-17,25.5225
1982-04-18,26.887499
1982-04-19,27.02
1982-04-20,27.509998
1982-04-21,27.684998
1982-04-22,28.21
1982-04-23,28.56
1982-04-24,28.6425
1982-04-25,27.092499
1982-04-26,27.0325
1982-04-27,28.064999
1982-04-28,28.359999
1982-04-29,28.449999
1982-04-30,28.525
1982-05-01,28.457499
1982-05-02,28.675
1982-05-03,28.7725
1982-05-04,27.109999
1982-05-05,26.445
1982-05-06,26.305
1982-05-07,27.3175
1982-05-08,27.437498
1982-05-09,27.4375
1982-05-10,27.592499
1982-05-11,27.725
1982-05-12,27.397501
1982-05-13,27.0425
1982-05-14,26.9725
1982-05-15,27.210001
1982-05-16,27.852499
1982-05-17,28.494999
1982-05-18,29.172499
1982-05-19,28.984999
1982-05-20,28.525002
1982-05-21,28.1075
1982-05-22,28.657497
1982-05-23,28.399998
1982-05-24,27.857498
1982-05-25,26.527498
1982-05-26,26.634998
1982-05-27,26.6525
1982-05-28,26.77
1982-05-29,27.6925
1982-05-30,29.004997
1982-05-31,29.447498
1982-06-01,28.64
1982-06-02,28.5325
1982-06-03,28.662498
1982-06-04,29.31
1982-06-05,29.027498
1982-06-06,28.849998
1982-06-07,29.595
1982-06-08,29.697498
1982-06-09,29.35
1982-06-10,28.68
1982-06-11,28.127499
1982-06-12,27.994999
1982-06-13,27.925
1982-06-14,28.0525
1982-06-15,28.205
1982-06-16,28.5
1982-06-17,28.567497
1982-06-18,27.899998
1982-06-19,27.307499
1982-06-20,28.187498
1982-06-21,28.315
1982-06-22,27.664997
1982-06-23,27.52
1982-06-24,27.8375
1982-06-25,27.9625
1982-06-26,28.095001
1982-06-27,27.964998
1982-06-28,27.1625
1982-06-29,27.227499
1982-06-30,27.345001
1982-07-01,26.817501
1982-07-02,27.4225
1982-07-03,27.627499
1982-07-04,27.085
1982-07-05,27.012499
1982-07-06,27.2625
1982-07-07,27.2725
1982-07-08,28.235
1982-07-09,28.169998
1982-07-10,27.8425
1982-07-11,27.505
1982-07-12,27.390001
1982-07-13,27.449999
1982-07-14,27.325
1982-07-15,27.072498
1982-07-16,26.635
1982-07-17,26.3125
1982-07-18,26.255
1982-07-19,27.074999
1982-07-20,27.2275
1982-07-21,27.1625
1982-07-22,27.6675
1982-07-23,27.865
1982-07-24,28.082499
1982-07-25,28.342499
1982-07-26,28.4175
1982-07-27,28.6225
1982-07-28,28.704998
1982-07-29,28.029999
1982-07-30,27.544998
1982-07-31,27.17
1982-08-01,27.269999
1982-08-02,27.3
1982-08-03,26.977497
1982-08-04,27.1725
1982-08-05,27.4425
1982-08-06,27.787498
1982-08-07,27.8875
1982-08-08,28.0175
1982-08-09,28.007498
1982-08-10,27.98
1982-08-11,28.099998
1982-08-12,27.839998
1982-08-13,27.630001
1982-08-14,27.445
1982-08-15,27.252499
1982-08-16,27.7375
1982-08-17,27.810001
1982-08-18,27.7475
1982-08-19,27.265
1982-08-20,27.672499
1982-08-21,27.81
1982-08-22,27.86
1982-08-23,27.865
1982-08-24,27.414999
1982-08-25,27.235
1982-08-26,27.3425
1982-08-27,28.277498
1982-08-28,28.2575
1982-08-29,27.8925
1982-08-30,27.767498
1982-08-31,27.942501
1982-09-01,27.9875
1982-09-02,28.1575
1982-09-03,28.16
1982-09-04,27.895
1982-09-05,27.3925
1982-09-06,27.2025
1982-09-07,27.36
1982-09-08,27.4075
1982-09-09,27.5475
1982-09-10,28.355
1982-09-11,28.5275
1982-09-12,28.227499
1982-09-13,28.1675
1982-09-14,28.317501
1982-09-15,28.56
1982-09-16,28.09
1982-09-17,27.994999
1982-09-18,28.02
1982-09-19,28.222498
1982-09-20,28.3975
1982-09-21,28.285
1982-09-22,28.5325
1982-09-23,29.0625
1982-09-24,29.02
1982-09-25,28.977499
1982-09-26,29.497498
1982-09-27,29.447498
1982-09-28,29.419998
1982-09-29,28.24
1982-09-30,28.369999
1982-10-01,28.807499
1982-10-02,29.11
1982-10-03,29.1475
1982-10-04,29.152498
1982-10-05,27.3025
1982-10-06,27.2375
1982-10-07,27.6925
1982-10-08,28.1075
1982-10-09,28.1225
1982-10-10,28.4875
1982-10-11,28.3475
1982-10-12,28.2275
1982-10-13,28.184998
1982-10-14,27.252499
1982-10-15,27.2725
1982-10-16,27.419998
1982-10-17,27.77
1982-10-18,28.345001
1982-10-19,28.345
1982-10-20,28.502499
1982-10-21,28.3625
1982-10-22,28.425
1982-10-23,28.572498
1982-10-24,28.715
1982-10-25,28.855
1982-10-26,28.77
1982-10-27,28.6375
1982-10-28,28.6075
1982-10-29,28.339998
1982-10-30,27.89
1982-10-31,27.64
1982-11-01,27.89
1982-11-02,27.997498
1982-11-03,28.192501
1982-11-04,28.49
1982-11-05,28.61
1982-11-06,28.849998
1982-11-07,28.619999
1982-11-08,28.042501
1982-11-09,27.8275
1982-11-10,27.6575
1982-11-11,27.722498
1982-11-12,27.812498
1982-11-13,27.6925
1982-11-14,27.642498
1982-11-15,27.86
1982-11-16,27.477499
1982-11-17,27.24
1982-11-18,27.5275
1982-11-19,27.694998
1982-11-20,27.7725
1982-11-21,27.58
1982-11-22,27.689999
1982-11-23,28.157501
1982-11-24,28.14
1982-11-25,28.207499
1982-11-26,27.8525
1982-11-27,27.422499
1982-11-28,27.207499
1982-11-29,27.175
1982-11-30,27.092499
1982-12-01,27.2925
1982-12-02,27.137499
1982-12-03,26.7825
1982-12-04,26.855
1982-12-05,26.859999
1982-12-06,26.8475
1982-12-07,26.869999
1982-12-08,26.897501
1982-12-09,26.9625
1982-12-10,26.699999
1982-12-11,26.67
1982-12-12,26.997498
1982-12-13,26.875
1982-12-14,27.0425
1982-12-15,26.89
1982-12-16,27.09
1982-12-17,27.19
1982-12-18,27.092499
1982-12-19,26.6125
1982-12-20,26.234999
1982-12-21,25.872498
1982-12-22,25.755001
1982-12-23,25.6675
1982-12-24,25.825
1982-12-25,25.91
1982-12-26,26.2225
1982-12-27,25.94
1982-12-28,25.684998
1982-12-29,25.762499
1982-12-30,25.932499
1982-12-31,26.235
1983-01-01,26.3825
1983-01-02,26.339998
1983-01-03,26.387499
1983-01-04,26.3375
1983-01-05,26.3825
1983-01-06,26.47
1983-01-07,26.2625
1983-01-08,26.24
1983-01-09,26.0675
1983-01-10,25.789999
1983-01-11,26.1475
1983-01-12,26.097498
1983-01-13,25.582499
1983-01-14,25.44
1983-01-15,25.68
1983-01-16,25.79
1983-01-17,25.7775
1983-01-18,25.779999
1983-01-19,25.624998
1983-01-20,25.4
1983-01-21,25.332499
1983-01-22,25.402498
1983-01-23,25.227499
1983-01-24,25.505
1983-01-25,25.654999
1983-01-26,25.739998
1983-01-27,25.6975
1983-01-28,25.774998
1983-01-29,26.3125
